date,time,entire_num,center_num,bottom_num,right_num
2023-10-18,15:35:16,1,0,0,0
2023-10-18,15:35:16,1,0,0,0
2023-10-18,15:35:16,1,0,0,0
2023-10-18,15:35:16,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:17,1,0,0,0
2023-10-18,15:35:18,1,0,0,0
2023-10-18,15:35:18,1,0,0,0
2023-10-18,15:35:18,1,0,0,0
2023-10-18,15:35:18,1,0,0,0
2023-10-18,15:35:18,1,0,0,0
2023-10-18,15:35:18,1,0,0,0
2023-10-18,15:35:18,1,0,0,0
2023-10-18,15:35:19,1,0,0,0
2023-10-18,15:35:19,1,0,0,0
2023-10-18,15:35:19,1,0,0,0
2023-10-18,15:35:19,1,0,0,0
2023-10-18,15:35:19,1,0,0,0
2023-10-18,15:35:19,1,0,0,0
2023-10-18,15:35:19,1,0,0,0
2023-10-18,15:35:19,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:20,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:21,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:22,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:23,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:24,1,0,0,0
2023-10-18,15:35:25,1,0,0,0
